Testcase;Status;Tijd;CPU;Omschrijving
Single Threaded;Correct;0,35;100%;Werkt je programma goed met maar 1 thread?
Single Threaded;Afgebroken;7,57;100%;En met een grotere testcase?
2 threads (Eigen Lock, 5 runs);Afgebroken;7,60;100%;Opwarmen: 2 threads (gemiddelde 5 runs)
4 threads (Eigen Lock, 5 runs);Afgebroken;7,58;100%;Opwarmen: 4 threads (gemiddelde 5 runs)
16 threads (Eigen Lock, 1 run);Afgebroken;7,51;103%;Echt lekker op gang: 16 threads
7 threads (Eigen Lock, 3 runs);Afgebroken;7,51;101%;Nu geen saaie 2-macht: 7 threads
Eerlijk delen;Incorrect;0,02;100%;10 getallen over 3 threads verdelen
Meer threads dan nummers;Incorrect;0,02;100%;10 getallen over 17 threads verdelen
Lijstmodus (Eigen Lock, 1 thread);Incorrect;0,01;100%;Dit is een test of de lijstmodus werkt
Lijstmodus (Eigen Lock, 2 threads);Incorrect;0,01;100%;Dit is een test of de lijstmodus werkt
Lijstmodus (C#-Lock, 2 threads);Incorrect;0,01;100%;Dit is een test of de lijstmodus werkt
Eerlijk delen;Incorrect;0,01;100%;10 getallen over 3 threads verdelen (lijstmodus)
Meer threads dan nummers;Incorrect;0,01;100%;10 getallen over 17 threads verdelen (lijstmodus)
Zoekmodus;Incorrect;0,01;100%;Voorbeeld uit opdracht (Eigen Lock)
Zoekmodus;Incorrect;0,01;100%;Voorbeeld uit opdracht (Eigen Lock)
Zoekmodus;Incorrect;0,01;100%;Strikzoekopdracht
Zoekmodus;Incorrect;0,01;100%;Terminatie
1 thread (Eigen Lock, 5 runs);Afgebroken;7,61;100%;Baseline: 5 runs met 1 thread.
Versnellingstest (Eigen Lock);Incorrect;-;-;Is je programma sneller met meer threads?
2 threads (C#-Lock, 5 runs);Afgebroken;7,61;100%;C#-Lock: 2 threads (gemiddelde 5 runs)
4 threads (C#-Lock, 5 runs);Afgebroken;7,51;100%;C#-Lock: 4 threads (gemiddelde 5 runs)
1 thread (C#-Lock, 5 runs);Afgebroken;7,51;100%;Baseline: 5 runs met 1 thread.
